"iso","units","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013"
"sdn","mass","24.5","17.8","24.4","23.2","23.4","29","39","42","30.3","44","45.8","88","54.7","60.3","95","80","32","11.4","33.9","80.4","74.5","79","41.7","86","93.4","60","37.8","78.2","46.9","66.3","39.4","44.5","43.9","39.4","31.7","76.8","69","26.2","26.1","32.8","70","55.6","41.9","58.1","55.3","52.5","55.8","52.2","54.6","69.6","80.3","73","79.4000000357628"
"swe","mass","111.6","117.1","129.7","149.1","161.1","164.3","181.4","190.9","205","225.5","233.8","232.9","263.5","235.3","256.5","259","258.1","255.5","256.2","243.8","247.9","249.2","257.9","253.5","245.9","240.8","241.2","222.5","234.3","211.5","185","205","221","216","196","209","208","196","197","191","187","182","177","164","170","175","197","158","176.1","177","160.1","162","163"
"che","mass","16","24","23","22","25","31","32.7","32.5","36","36.5","38.7","38.5","40","37.4","42.3","50.6","55.3","63.4","64.5","65.6","62.9","60.2","67.4","70.7","71.9","71.1","72.6","71.5","70.2","63.4","63","64","63","63","65","62","60","59","53","56","57","51","55","55","55","52","44","40","40.4","38.7","48","48","48"
"syr","mass","14","15","8.6","12.1","12.9","12.3","16.9","22.8","20.2","26.1","34.9","32.9","33.3","36.6","39.2","48","55","65","80.4","92","76.5","95.9","119","118.5","136.2","143.6","158.4","160.5","153.5","184.9","158.7","161.6","193.4","217.1","236","227.4","236.8","218.4","250.4","236.1","192","210","210","273","273","198.1","214.1","182.1","190","185","180.3","131.10000000149","64.4000000059605"
"twn","mass","121.5","108.4","120.9","138.9","146.5","159.8","161.2","170.9","164.8","154","170","180","223","204.7","252.6","238.6","249.2","277.7","281.6","268.8","256.3","240.9","263","240.5","244.3","293.1","279.9","304.9","312.8","324.8","341.5","313","335.3","344","346.5","344","284.7","318","282","280","229.9","230","230","202.5","176","177","182","161.5","171.7","167.2","159.7","163.699999958277","160.70000000298"
"tza","mass","1.4","1.2","1.5","1.5","4","5","4","4","5","8","10.7","8.6","11.1","14","14.9","13.3","16.1","12.9","23","22.8","22.5","23.2","15.4","23.5","25.8","26.2","31.9","26.6","28.4","33.1","33.6","33.1","26.3","25.4","15","20.1","25","19.3","12.5","14.1","14.3","14.4","27.2","41.6","30.2","34.3","39","36.4","53.6","71","79.2","64.8999996185303","80"
"tha","mass","11.1","12","17.4","19.4","15.6","26.3","47.8","53.2","48.7","50.2","50.2","72.1","56","66.7","81.7","125","159.6","140","115","136","156.9","178","250","247.6","265.2","345.9","376.7","439.7","498","576.5","525.8","600.2","769","740","728","811","784","905","1070","922","993.5","1045.4","1095.9","1050.1","1055.3","949.5","1036.6","932.4","1227.8","1310.8","1386.4","1382.3","1479.70000600815"
"tto","mass","19.6667571950151","20","15","15","16","3.8","5","5","5","5.7","9","7","7","5.5","4.3","4.5","3.5","4.9","4.7","3.9","2.8","3.4","3.9","5","5.5","3.5","3.2","1.3","1.5","5.5","5.9","7","3","3","3","6","6","5","4.9","5.3","5.3","2.8","2.8","5.3","5.3","5.3","5.3","4.9","5.2","5.1","5","6","6"
"tun","mass","3","4","5.7","6","6","7","5.5","9.1","13.4","16.9","18.8","14.9","20.1","22.7","23.5","21.9","23.6","26.5","25","26.1","30.2","37.1","33.2","41.9","45","51.2","50.6","46.4","49.5","37.7","51.7","54.9","50.2","47","40","52","51.5","63.3","65","62.1","55","56","60","68","73","73.5","74.5","73.6","78","80","82","85","87.1000000014901"
"tur","mass","37.8","38.4","39.1","54.2","73.3","98.3","142","193","245.2","243","286","374.5","429.9","322","482.2","630.5","678.8","737.6","715.3","782.4","785.7","878","985.8","997.1","916.1","951.6","1141.7","1081.9","1140.5","1199.7","1103.7","1206.3","1335.2","1006.6","1053.7","1147.7","1167","1392","1484","1276.1","1132.4","1199.9","1340.8","1366.3","1372","1406.5","1355.7","1133","1412.3","1343.7","1259.30001080036","1431.89999556541","1584.39999079704"
"gbr","mass","498","521.4","554.5","565","589.6","685.3","747.5","768.5","783.1","879.5","904.9","931.9","1099.2","925","1045","1110","1177","1222","1314","1240","1386","1560","1601","1580","1572","1650","1525","1514","1582","1516","1365","1219","1235","1339","1328","1451","1363","1286","1268","1167","1195","1131","1130","1074","1026","1005","1036","917.8","1015","1019","1003","995","1059"
"usa","mass","3057.2","3564.4","3948.8","4208","4832","5467.6","6072.5","6311.9","6766.9","7363","7263.9","7551.3","8296.9","7808.8","9445.2","9659.1","9039.8","9655.7","10342.6","10818.2","9968","8334.2","10057.8","10425.9","9242.3","9262","9536","9609.5","10048","10239.4","10385.1","10335.3","11469.4","10632.1","11161.5","11205.7","11169.9","11296.3","11189.1","10466.9","10894.7","10969.8","11818.7","11190.8","10926","11966.1","11395.5","10397.7","11116.9","11737","12231.3999938965","12050.3001708984","12247.0001754761"
"ury","mass","10","10","7.3","12.1","8.3","7.4","7.1","13.5","11.2","13.3","18.5","15.7","15.4","9.9","11.1","17.9","17.8","14.4","21.8","21.1","20.4","22.5","16.7","19.5","17.1","12.8","15.5","30.9","24.4","27.6","28.6","31.9","34","25","21","47","47","53.5","43","36.2","41.5","39.8","58.1","56.3","57.2","58.2","66.2","57","60.7","63","69.1","156.199999719858","136.900000572205"
"ven","mass","4","7","15","17","17","15.5","18.6","27.8","22.1","25.4","33.4","36.1","38.8","58","64.8","74.3","87.6","116","97","113","69.6","70.3","73.4","123.1","184","226.4","277.3","300.5","244","205","201.9","173","144","134","168","171","168.3","128.6","106","145","150","190","192","205","220","181","205","194","199.7","210","246.7","254.599996566772","230.399993777275"
"vnm","mass","30.8672056330953","31.8","80.9","40","39.4","58.2","81.7","83.4","172.9","166.2","89.6","105.8","133.3","121.2","194","241.5","288","209","121","129","169.1","214.7","318.3","299.1","342.3","382.4","309","428.8","424","425.4","619","541.3","565","874.9","813.7","995.3","922.9","1186.1","1224.2","1332","1136","1305.4","1371","1437.4","1165.7","1123.5","1109","965","1190","1250","1300","1407","1261"
"zmb","mass","3","4","3","3","3","6","6.5","12","9.2","19.6","32.8","25","24","35.9","33.7","39.8","42","31","38.2","53","57.6","54.1","43.2","37.7","53.4","53.8","61.8","56.1","51.8","37.9","40.1","57.3","57.9","38","34","27.5","32.6","13.2","10.7","8.7","12","21.6","22","14.7","12.7","20.6","16.6","24","33.7","26.9","18.2","20.6000000089407","20.8000001162291"
"zwe","mass","20","15","32","37","38","36.5","41","38.5","43","49","70","77.5","70","75","75","60","45","55.3","59.1","86","99.5","88","81.3","71.8","93","84.6","69.6","81.2","84.8","88.3","89.8","57.6","95.6","92.9","76","94","94","95","100","87.4","82","60","20","20","20","18","27","24.1","25.9","40","40.6","41","47.8000005483627"
"csk","mass","142.5","158.7","176.8","228","263","278","286.1","355.3","400.3","413","419","450","429","465.1","506.5","532","585.7","622.3","609.2","678.7","644.3","634","656.4","692.3","674","646.3","587.7","644.4","669.9","588.3","287.8","280","237.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"cze","mass","99.264270795691","110.312937505413","122.663674210478","157.897512731404","181.78615990754","191.754949770631","196.910624440455","243.998585026995","274.329391915023","282.508301549902","286.154829971141","306.898582793945","292.21104822651","316.418983076132","344.158755694167","361.029326532978","396.960773256261","421.182505843239","411.664856914796","457.788267567748","433.656590949543","425.699833152433","439.629174964914","462.544299839968","449.32981965776","430.04694574074","390.416624323916","427.477420339051","443.823109703365","389.287461729421","190.22309714511","184.871548314177","156.721358522664","239.4","232.7","262.3","225.9","218.8","209.6","262.07","310.6","289.1","303.8","292.9","289","295","310.9","290","246","295","334","307","362"
"svk","mass","43.235729204309","48.3870624945871","54.1363257895221","70.1024872685963","81.2138400924599","86.2450502293692","89.1893755595453","111.301414973005","125.970608084977","130.491698450098","132.845170028859","143.101417206055","136.78895177349","148.681016923868","162.341244305833","170.970673467022","188.739226743739","201.117494156761","197.535143085204","220.911732432252","210.643409050457","208.300166847567","216.770825035086","229.755700160032","224.67018034224","216.25305425926","197.283375676084","216.922579660949","226.076890296635","199.012538270579","97.5769028548903","95.1284516858226","80.8786414773359","68.7","72","77.6","72.5","82.8","65.4","82.1","85","81","93","90","90","100","105","94","83","96","113","112","120"
"ussr","mass","859","1070","1360","1756","2282","2656","3089","3454","3798","4605","5182","5606","6224","6696","6696","7252","7472","7658","7467","8313","8383","9038","10302","10279","10949","11475","11787","11587","9918","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"arm","mass","7.62782545599177","9.68372078895007","12.5404875628692","16.4916964121421","21.8204078725148","25.8471111682545","30.5815303736468","34.7724650376955","38.8631965462773","47.8692065445021","54.6919024407192","60.035930521506","67.5857149432418","73.668822339337","74.5763050436879","81.6948010754147","85.0684960098894","88.0424271779378","86.6212098304462","97.2306157748863","98.7486017595577","107.102400002399","122.751727003709","123.191207701932","132.077732479454","139.520452366","144.552219394367","143.069179251214","122.678520923294","26","24","15","15","7","7","8","8","9.6","6.1","7","5","4.4","1.5","15.9","14.2","14.4676792776186","14.4","7.2","8.9","7","7","6.79999983310699","6.90000009536743"
"aze","mass","15.8931384409869","20.1568638246279","26.0892222651945","34.2898966667316","45.3279247671153","53.6250609630238","63.3505235972185","71.8930754102126","80.1524455839976","98.4250409625759","112.042944964631","122.484868198036","137.292064137232","149.019794658043","150.274190841941","164.052380512638","170.311664116708","175.824048196396","172.656412252647","193.562939784944","196.560909505417","213.41768612097","244.986217617249","246.145632315024","263.989850966506","278.504760157676","287.947035568294","285.048601129063","246.001752324004","88","80","50","34","34","34","16.6","12.6002041071667","12.7","13.8","2.1","9.9","16.6","34.5","18.5","15.6","21.3","17.8","31","19.8","16.6","23.9","21.3000007867813","20.4999991953373"
"blr","mass","32.6310941647064","40.4193592699626","51.1118446660211","65.7269150386854","85.1876383967429","99.0325178321455","115.176284126237","128.860260046756","141.751506809654","171.819113078503","193.120101519533","208.525056978749","230.953714136302","247.821460864384","247.188786674685","267.044618309185","274.450948264827","280.582728901952","272.931648752314","303.17127247472","305.097060799952","328.315482232069","373.52811970801","371.914212135407","395.185996471352","412.992962506658","422.88080770106","414.30856274566","353.427250276459","682","454","250","227","200","230","260","280","280","286","280","290","250","270","375","406","480","447","553.5","529.9","536","600","557","535"
"est","mass","4.85265750919739","6.02205676185346","7.63321358625185","9.83787281450281","12.7720326009954","14.862964453167","17.2962825202288","19.3595693833512","21.3091072277954","25.8549917381407","29.1024577260157","31.4798095453272","34.9345721999313","37.5599032563067","37.532152288315","40.6147848295276","41.8056658761239","42.7950744652891","41.6657327347935","46.3021579195752","46.5804702326609","50.0715125866675","56.8997924738485","56.6297914599133","60.2205622909451","63.0997635882353","64.8650912944515","63.7527014657513","54.3682634964488","71","118","39","30","26","19","16.6","20.5","24.9","19.5","22.4","28.7","30.2","26.4","29.1","30.1","14.5","23.8","33.5","34.9","37.2","39.5000000074506","41.1","50.9999992400408"
"geo","mass","16.6645144408858","20.7592300763538","26.3924577665415","34.0888153843864","44.3141193110159","51.5918463763016","60.0185922457403","67.1224082423042","73.8091109706922","89.4755768070588","100.64791389569","108.81970035347","120.716504577335","129.726437115655","129.54197012201","140.048853859667","143.997846893033","147.265023360306","143.31495844485","159.311005079098","160.457967308307","172.814517894789","196.832945933895","196.326942565653","209.136732559282","219.356782999387","225.584828738044","221.781336668216","189.299642439846","89","81","62","48.9","26","26","27.2","31.5","30","40","40","30","30","30","30","30","30","30.6","31.2","31.8","32.5","33","34.5999999791384","30.0000000298023"
"kaz","mass","41.0567649268516","52.3297452899642","67.9102277185624","89.2990405200905","117.868713480229","138.956272278282","163.294278736688","184.161727679689","204.048908526505","249.19112186936","282.378239731356","307.51490093161","343.501606423272","371.499960332984","373.086226374605","405.379197693014","418.69414098073","429.943500279645","419.981241485815","468.489364289221","473.426295058139","511.496825006345","584.328646118501","584.441667030787","624.16745434725","656.105895889222","676.040809979795","666.118035661366","570.392618135421","237","213","150","86","65","64","67.1","15.1","12.6","30","30","41","50","50","39.1","40.5","43","45.4","50","50","55","58","61.7000000476837","64"
"kgz","mass","8.85358069704922","11.238556337113","14.5746318148344","19.2075741032754","25.4710220386318","30.2418404227909","35.8678093402011","40.8682013621224","45.7352188474271","56.3483815696146","64.3249385171726","70.4882522871562","79.1811450841499","86.1342540275204","87.0692778353411","95.3009142469252","99.2109136837735","102.731761031509","101.223141962623","113.911503832249","116.1519369189","126.654859001038","146.031040429886","147.375907891777","158.751236513644","168.248550878735","174.759690801256","173.631047596448","150.048554927293","87","80","25.3","22","22","22","25","25","27.7","26.8","27.8","7","7","8.6","4.9","3.2","4.8","1.9","3.8","31","32.9","32","32","33.1000000014901"
"lva","mass","11.0726368798229","13.7709051621167","17.4918077316764","22.5854465477588","29.3652024929736","34.2077500473657","39.8320924785563","44.6007050456564","49.114225516936","59.634323010467","67.1944847229467","72.7768935512374","80.8754442453441","87.0645359576973","87.0908669980207","94.3171185564619","97.1394004745752","99.4870887570193","96.9133116856","107.770298236201","108.525886840248","116.8138724869","132.931495468949","132.454788662575","140.961398352353","147.688770229075","151.722349070475","149.148818221047","127.560805536105","115","72","63","40","40","12","14","19","31.5","33.6","28.5","38.8","36.4","35.9","37.8","39.3","44.5","55.5","52.5","44.2","40","47.9","57.8000000119209","57"
"ltu","mass","8.51239796464098","10.5680760691592","13.3937311126207","17.253067124132","22.3806924842469","26.0149740314756","30.2287831429601","33.7776757431527","37.1171791936577","44.9675822941618","50.5525873896349","54.6249695556635","60.5554450698795","65.016894155911","64.8473784978951","70.003286487816","71.8509458089553","73.3299936024676","71.1930291599935","78.9262331974351","79.2542371740884","85.079413087972","96.5935263825159","96.077426884086","102.13241267989","106.985899901401","109.962964906567","108.111071775589","92.3091530487748","212","248","88","43","43","40","79","81.1","83.4","94","98","102","115","116","117","119","122","127","118.3","134.4","143.2","147","150","154"
"mda","mass","12.1301629588548","15.2137876368134","19.455515629272","25.2640235453201","33.0141736827874","38.6325349431288","45.1632088616328","50.7527973227907","56.0810654298064","68.3235714115892","77.252359347644","83.9663489403969","93.6234804310824","101.074206358143","101.318916982489","109.866452089951","113.223767685561","116.003007371658","113.079087251366","125.917952358144","127.08515022322","137.19094774832","156.601095185869","156.429760264317","166.717993392537","174.709602361329","179.34309954434","176.100903475152","150.510323872203","101","80","64.7","60","60","60","60","9.5","6.8","3.1","5","5","8","8","8","8","8","8","8","9","5.4","5.5","7.69999990612268","10.5000000968575"
"rus","mass","478.712416822205","594.142815544114","752.232366323947","967.322041071834","1251.86751637483","1450.9201241939","1680.29952917313","1870.85197445702","2048.47918962905","2473.40649518108","2771.97175973969","2986.90677663109","3303.72504055772","3541.98308842154","3531.0187483614","3813.8928763842","3920.40232870369","4009.62668636399","3901.92132302828","4335.48596873631","4363.38935193301","4695.15169291488","5341.4311176887","5319.28956048301","5655.3105496052","5915.83266545722","6065.33733129704","5951.91642238252","5086.73218120227","4344","4018","2622","2051","900","1000","984","950","831","958.6","960","1090","907","837.9","896.5","917.9","967","1166.1","1423.4","1494.2","1483.3","1577","1576","1536.60000610352"
"tjk","mass","8.4408890358098","10.7564137665184","14.0048538583843","18.5238360382669","24.6411606463569","29.3305588475293","34.8663617090692","39.8377630431281","44.7688639489998","55.4946876194948","63.8689490977236","70.6778216976202","80.2471701586635","88.2255043730931","90.0732329916635","99.4975186945869","104.483648464524","109.102016950519","108.398453723788","123.022636724746","126.504031439675","139.105078562422","161.805480829061","164.902915132864","179.603885344571","192.691354089402","202.765210943998","204.136510533674","178.695232027805","14","89","64","46","40","40","32.1","41.2","28.3","10.6","16","11.5","26","23.5","21","20.4","16.1","12.9","12.3","11","11","11.0000000149012","4.79999998211861","5.50000005960464"
"tkm","mass","6.50656718709384","8.26437327150425","10.7148056041657","14.1126896456896","18.7061759821527","22.2020532013679","26.3275345948503","30.0132694499569","33.6481329732893","41.598387018083","47.7304667959404","52.645880353955","59.5784739939749","65.3082147317271","66.5094537054142","73.3232427132032","76.8706622812253","80.1282564705499","79.4233932452817","89.8417373689321","92.0141780540825","100.725922167125","116.561678051242","118.082853315319","127.740678971206","135.969213418755","141.866483619363","141.791458191624","123.642504716951","135","149","100","119","102","105","110","159","57","72.2","86.6","98","97.9","109.9","124.8","171.7","239.1","250","250","253","255","255","260","262"
"ukr","mass","170.376973499333","211.599236059289","268.237779230567","345.50442319857","447.97766996162","520.277089803195","603.868962245104","673.904613163036","739.597432946816","895.012144264546","1005.17306981066","1085.20397802891","1202.22073779448","1290.30836011316","1286.87736045048","1389.60721869713","1427.08484238602","1457.35989501055","1415.44673793889","1569.13135075142","1575.19222656105","1690.15090832728","1916.72424392221","1902.00304735051","2014.13741123996","2097.58431343335","2140.25740750078","2089.96570029947","1777.95670802211","1836","1662","1338","841","774","625","373","413","406","327","350","380","450","430","470","500","550","600","800","700","650","1159.1","1254.10000419617","1381.60000610352"
"uzb","mass","35.6683800165701","45.0748601416603","58.2170551290921","76.4926618886144","101.285549907784","120.257301438067","142.828226854737","163.22349461313","183.524415849092","227.579376630826","261.947824300652","289.848812425272","329.008886247393","361.588563294497","368.995132832051","407.356735850279","427.404728370361","445.778492060216","442.230318503318","500.924963472118","514.01169619169","563.908881860821","653.992873186353","663.734286806817","718.866104785848","765.709012723543","799.114669640161","798.119650603205","694.376489051016","541","470","410","320","300","300","220","678","643","622","607","559","559","559","473","523","550","560","620","600","523.200001478195","527.700000762939","563.300001144409","560.700000047684"
"yug","mass","108","134.6","152.1","167.1","166.3","198.1","206.9","270.3","283.5","302.7","332.6","370","339.4","352.3","360","382","440","428","439.8","421","477","490","472.2","598.7","532","506","503.1","503","443.7","441.7","288","265","198","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"bih","mass","19.4281846660959","24.4519198025179","27.8973590942992","30.9161693529973","30.9955477992401","37.1388245222126","38.964324004226","51.0901524525179","53.7678935608683","57.6150762449139","63.5560095008189","70.9939994638682","65.3756299531341","68.0699269362566","69.6933675627809","74.0023017265511","85.2110205442077","82.8273059736063","85.0831889387585","81.4962000689546","92.4615209822518","95.1525353956574","91.9261105076386","116.963573649045","104.402152493387","99.928757527153","100.102880878738","100.646282485308","88.7620656451847","87.6092181021493","56.0628275466449","50.1686579831941","36.2774121405977","5.1456173030136","5","3","3","23","28","27.8","18.3","19.4","18.1","18.2","26.4","17.3","21.9","11.5","13.9","13.9","16.9","20.5000003352761","20.9999999552965"
"hrv","mass","25.0330013551508","31.1075244990783","35.0434783765151","38.3767096710038","38.0688302373056","45.198718986781","47.0462957178735","61.2433108023773","63.9871990320326","68.0353403524741","74.4176810076018","82.388234477751","75.1991654565547","77.6689660297002","78.9807674562944","83.4121105439626","95.6383267243367","92.6265960277561","94.7967926740726","90.4112350100494","102.101739987096","104.579533381253","100.515068988469","127.124204495885","112.683310163928","106.912415782691","106.040018491461","105.762524324615","93.0718361941383","92.4353349336812","60.1318974231747","55.2039306748868","41.1513106129974","95","93","101.6","152","95","99.4","116","99","109.3","108.2","112.8","122","130.3","133.9","135","93.6","96.4","110","132","130"
"mkd","mass","8.93808447979353","11.1737831186714","12.6728488831763","13.9880996870808","14.0039778074239","16.8065872671344","17.705575718656","23.3346739117979","24.6582511588294","26.469171457911","29.1634882427593","32.4625165216468","29.7663864561328","30.9045524903478","31.6390159743867","33.7029306441161","39.026745784237","38.1795800327148","39.4166042974426","37.8347083004961","42.8926603456445","44.0116127482026","42.3078142895767","53.4687519165054","47.3452174650774","44.8685189424198","44.4464194499836","44.2767853980956","38.9241952640765","38.6322158500691","25.1196800687502","23.0600314469132","17.2131087137881","36.2","25","30.4","28.1","25.2","25","19.2","14.6","15.7","15.3","18.2","19.1","17.1","17.7","16.4","14","17.1","17","17.2000002861023","17.6000002026558"
"srb","mass","45.1355975829604","56.118314552564","63.2682303537942","69.3607717318148","68.9022857181536","81.9533224787438","85.4916510926051","111.594481195933","116.98871692325","124.899025349521","137.273374484864","152.802129288942","140.28557788155","145.763936738721","149.107427688407","158.395045309593","182.652101637928","177.855041502506","182.901878876998","175.160439701169","198.498207906388","203.917178078296","196.476472014517","248.995247107383","221.093720735554","209.997447732635","208.416981729671","208.193086347648","183.987103084941","184.191818780994","121.320081702269","113.174902294538","85.8309281448465","55","79","128.7","165.8","154","107.4","114.9","175.1","171.6","131.7","203.6","215.5","111","143.4","94.9","128","99","110","122.900000095367","139"
"svn","mass","9.46513191599943","11.7484580271685","13.2180832922152","14.4582495571033","14.3293584378768","17.0025467451282","17.6921534666394","23.0373816373741","24.0979393250196","25.6813865951805","28.1894467639556","31.3531202477925","28.7732402526287","29.8926178049748","30.5794213181307","32.4876117757773","37.4718053092901","36.5114764634171","37.6015352127285","36.0974169193306","41.0458707786196","42.3391403965912","40.9745341997993","52.148222831181","46.4755991420531","44.2928600151008","44.0936994501466","44.1213214443337","38.9547998116593","38.8314123331067","25.365513259161","23.3924776004675","17.5272403877703","30.4","36.3","25.6","33.3","55.7","60.9","63.7","58.7","62.9","58.6","62.5","63.6","53","41.9","21.5","27.5","19.6","20.6000000238419","24.4000000059605","25.0999999940395"
"abw","kt/1000","3.86271057309744e-06","3.86271057309744e-06","3.86271057309744e-06","3.86271057309744e-06","3.86271057309744e-06","3.86271057309744e-06","3.86271057309744e-06","3.86271057309744e-06","3.86271057309744e-06","3.86271057309744e-06","3.83847033884047e-06","3.81211047803639e-06","3.78743007022029e-06","3.76953325072284e-06","3.76145412579342e-06","3.76555150274802e-06","3.77946194877911e-06","3.79581073436928e-06","3.80391143419254e-06","3.79644235889244e-06","3.76691927947562e-06","3.71920644235785e-06","3.66778663751527e-06","3.63118524295332e-06","3.61983562860951e-06","3.64202477491859e-06","3.6896741327727e-06","3.73546506868379e-06","3.73821929479617e-06","3.67109158782262e-06","3.53049223960509e-06","3.34360665347695e-06","3.1469971585423e-06","2.97458930899609e-06","2.84031322361377e-06","2.74236432477913e-06","2.67008789073929e-06","2.61413217837664e-06","2.56337917396971e-06","2.5110722225891e-06","2.45603591189958e-06","2.40171587978315e-06","2.35170849868577e-06","2.31057705940734e-06","2.28080295108516e-06","2.26272934642468e-06","2.2540556027584e-06","2.25129758639064e-06","2.24965488680287e-06","2.24564701713633e-06","2.24564701713633e-06","2.24564701713633e-06","2.24564701713633e-06"
"ago","kt/1000","3.39210905497234e-05","3.39210905497234e-05","3.39210905497234e-05","3.39210905497234e-05","3.39210905497234e-05","3.39210905497234e-05","3.39210905497234e-05","3.39210905497234e-05","3.39210905497234e-05","3.39210905497234e-05","3.32711542807968e-05","3.30703815793408e-05","3.30527531345298e-05","3.14940547382639e-05","3.0990787825646e-05","3.00230851175175e-05","2.88026893933334e-05","2.88154599781085e-05","2.79043609599639e-05","2.81014432625625e-05","2.6871960884684e-05","2.65027071779984e-05","2.65161199541444e-05","2.65261122436426e-05","2.65232666636498e-05","2.73338551632631e-05","2.73585684685708e-05","2.62821772488398e-05","2.55437633629153e-05","2.40052107905646e-05","2.47086946823413e-05","2.54616859978812e-05","2.47674038723303e-05","2.361196247803e-05","2.36169941789508e-05","2.42884631614608e-05","2.41143239451355e-05","2.56154535862377e-05","2.38543818329332e-05","2.43185936204855e-05","2.48781994180864e-05","2.55331057147199e-05","2.68572889803399e-05","2.66412200861496e-05","2.78679295673486e-05","2.59490716673066e-05","2.68504086784824e-05","2.32294838423322e-05","2.91595809728635e-05","2.92905071801758e-05","2.92905071801758e-05","2.92905071801758e-05","2.92905071801758e-05"
"are","kt/1000","3.4703292642524e-05","3.4703292642524e-05","3.4703292642524e-05","3.4703292642524e-05","3.4703292642524e-05","3.4703292642524e-05","3.4703292642524e-05","3.4703292642524e-05","3.4703292642524e-05","3.4703292642524e-05","3.19756541648495e-05","2.9915801881698e-05","2.85799129101439e-05","3.04761388478321e-05","3.06596460335238e-05","3.11393773822404e-05","1.45475281836179e-05","1.8324219054042e-05","4.46094471817734e-05","4.66561908124498e-05","4.6847287916656e-05","4.72670042650825e-05","4.93222281142287e-05","4.04158581183149e-05","4.87566773027614e-05","2.41639577280874e-05","3.57139164089846e-05","3.3875816653283e-05","9.36551385798984e-05","0.000102944122800529","0.0001450047552517","0.000181008383299967","0.000180611444909752","0.000199467602012437","0.000205949586969916","0.000196193966469535","0.00018404552824038","0.000176233050768719","0.000170916729353288","0.000153528920163351","0.000143326526874185","0.000136206505011697","0.000132254555273074","0.000118662019721098","0.000105264721185477","9.04861612896676e-05","7.75350450075706e-05","6.71135672280368e-05","5.97236288001321e-05","5.49149080978067e-05","5.49149080978067e-05","5.49149080978067e-05","5.49149080978067e-05"
"asm","kt/1000","2.51565304851238e-05","2.51565304851238e-05","2.51565304851238e-05","2.51565304851238e-05","2.51565304851238e-05","2.51565304851238e-05","2.51565304851238e-05","2.51565304851238e-05","2.51565304851238e-05","2.51565304851238e-05","2.4920092778335e-05","2.47070053001053e-05","2.46427945474598e-05","2.39929558509376e-05","2.95749158425765e-05","2.95014344929926e-05","2.94200599869664e-05","2.91101299148047e-05","3.51368178402273e-05","5.07703167673158e-05","0.0001035404375","2.36631900115141e-05","2.40064966127471e-05","2.39899010268793e-05","2.36687402858817e-05","2.3507428627403e-05","2.32009990576706e-05","2.28492146927286e-05","2.25068918646224e-05","1.87209756185698e-05","1.82363318175241e-05","1.81319448152106e-05","1.80891425726959e-05","1.79960363850445e-05","1.79822059424292e-05","1.76620266105404e-05","1.75788931418587e-05","1.79303929766185e-05","0.000317363633156003","0.0010017002101283","0.00110559047935575","0.00109525801472867","0.00108961188656393","0.00108515415591779","0.00108786020193853","0.00109647744390261","0.00111222441057613","0.00113208322508811","0.0011483982636147","0.00116319210295492","0.00116319210295492","0.00116319210295492","0.00116319210295492"
"atg","kt/1000","4.31864412795056e-05","4.31864412795056e-05","4.31864412795056e-05","4.31864412795056e-05","4.31864412795056e-05","4.31864412795056e-05","4.31864412795056e-05","4.31864412795056e-05","4.31864412795056e-05","4.31864412795056e-05","5.00556724652537e-05","4.36098843836024e-05","4.28387652268581e-05","3.64574785521812e-05","3.55071306658195e-05","3.61983329511909e-05","3.73960988565e-05","4.62082631758098e-05","5.82891424886256e-05","6.5166309156342e-05","6.26376498924731e-05","6.55721335750544e-05","6.73821439712764e-05","6.88217473041892e-05","7.5193445941835e-05","7.62437137992415e-05","7.82456801713818e-05","7.97012955323164e-05","7.47228694305033e-05","7.53287306561561e-05","7.38710546048837e-05","7.27578659709304e-05","7.14761147252883e-05","6.98807068369647e-05","6.78643074514623e-05","6.32233445796854e-05","6.11607298704176e-05","5.97270568417648e-05","5.91394884338712e-05","5.42072453894498e-05","5.35271530415844e-05","5.21233999750094e-05","5.26206328488085e-05","5.34418140434176e-05","5.29172024465573e-05","5.30320765092791e-05","5.31367049776651e-05","5.28546132396016e-05","5.30155418308227e-05","5.29909582382814e-05","5.29909582382814e-05","5.29909582382814e-05","5.29909582382814e-05"
